name,categories
MPLAB Compatible ZIF Programmer - USB Powered (Sale),Programmers
Development Board with Onboard Programmer,Development Tools
MPLAB Compatible ICD,Programmers
MPLAB Compatible Tiny-ICD2 with RS232 (Sale),Programmers
MPLAB Compatible ZIF Programmer (Sale),Programmers
Serial Port Programmer - Socketed,Programmers
Serial Port Programmer - ICSP Only,Programmers
AVR In Circuit Emulator,Programmers
AVR STK Parallel Port Dongle Programmer,Programmers
AVR In Circuit Emulator with USB Interface,Programmers
AVR STK Serial Port Dongle Programmer,Programmers
MSP-JTAG Parallel Port Programmer,Programmers
14 Pin PIC Development Board (Sale),Development Tools
28 Pin PIC Development Board,Development Tools
MPLAB Compatible ICD2 with USB and RS232,
Parallel Programmer with ICSP,Programmers
28 Pin PIC Development Board with USB,Development Tools
18 Pin PIC Development Board with Relays,Development Tools
40 Pin PIC Development Board,Development Tools
40 Pin PIC Development Board with USB,Development Tools
8 Pin PIC Development Board,Development Tools
18 Pin PIC Development Board,Development Tools
28 Pin PIC Terminal Development Board,Development Tools
28 Pin AVR Development Board,Development Tools
40 Pin AVR Development Board,Development Tools
8 Pin AVR Development Board,Development Tools
20 Pin AVR Relay Development Board,Development Tools
40 Pin PIC Terminal Development Board,Development Tools
ATMega128/103 Bare PCB,Development Tools
40 Pin AVR Development Board w/USB Connection,Development Tools
Header Board for ATMega16,Development Tools
EasyWEB2 Fully Assembled Internet Development Board,Development Tools
EasyWEB Bare PCB MSP430F149 (Sale),Development Tools
EasyWEB3 Fully Assembled Internet Board,Development Tools
Header Board for ATMega128,Development Tools
Header Board for MSP430F149,Development Tools
Header Board for MSP430F1232,Development Tools
Header Board for MSP430F169,Development Tools
Header Board for MSP430F1611,Development Tools
Header Board for MSP430F417,Development Tools
Development Terminal - ATMega128,Development Tools
Header Board for MSP430FE427,Development Tools
Header Board for MSP430F123,Development Tools
Header Board for MSP430F449,Development Tools
Header Board for MSP430F413,Development Tools
Prototype Board for MSP430F123,Development Tools
Header Board for MSP430FW427 (Sale),Development Tools
Evaluation Board for MSP430F169,Development Tools
Prototype Board for MSP430F1121 - Large (Sale),Development Tools
Evaluation Board for MSP430F449,Development Tools
Evaluation Board for MSP430F413,Development Tools
Evaluation Board for MSP430F1121,Development Tools
Serial Cable DB9 M/F - 6 Foot,Serial
Prototype Board for MSP430F1232,Development Tools
Prototype Board for MSP430F1121,Development Tools
Wire Wrap Tool,Tools
Hemostats - Straight,Hand Tools
Classic Trio,Tools
Hot-air Rework Station - Digital HR852,Tools
"6"" Digital Calipers",Tools
Hot-air Rework Replacement Element,Tools
Parallel Cable DB25 M/F - 6 Foot,Parallel
Precision Phillips Set,Screwdrivers and Hex Keys
Reflow Toaster Controller,Widgets
TempGun Infrared Non-Contact,Sensors
Solder Vacuum,Hand Tools
TempGun with Laser Sight,Sensors
Soldering Station Variable Temperature 70W - Analog,Tools
Soldering Station Variable Temperature 70W - Digital,Tools
Inductor 180uH,General
Hot-air Rework Station with Soldering Iron HR906,Tools
9V Snap Connector,Battery
Ceramic Resonator 20MHz,Oscillators
Mini Pushbutton Switch,Buttons and Switches
Electrolytic Decoupling Capacitors - 100uF/25V,Capacitors
Omron Snap Action Switch,Switch
Crystal SMD 16MHz,Crystals
20 Pin AVR Development Terminal,Development Tools
Relay SPST-NO Sealed - 30A,Components
Relay SPDT Sealed,Relay
Real Time Clock Module,Breakout Boards
LED - RGB Clear Common Cathode,5mm
Voltage Regulator - 5V,"PTH ICs,Voltage"
Mini Power Switch - SPDT,Switch
Header Board for MSP430F1121,Development Tools
Trimpot 10K,General
Breadboard - Classic,Breadboard
SparkFun Breadboard Power Supply 5V/3.3V,"Power Supply,SparkFun,Kits"
Female Headers,Headers
Break Away Male Headers - Swiss Machine Pin,Headers
9 Pin Female Serial Connector - Solder Cup,Connectors
Heatsink TO-220,Misc. Tools
Jumper Wire Kit - 140pcs,"Wire,Kits"
DC Barrel Power Jack/Connector,Power Connectors
Break Away Headers - Straight,Headers
microSD Socket for Transflash,"Sockets,SD Cards"
RJ11 6-Pin Connector,Registered Jacks
Polarized Header for Breadboard and ICSP,Prototyping
SparkFun RS232 Shifter Board Kit,"General,SparkFun"
SD/MMC Socket for Secure Digital Disk or Multi Media Cards,Prototyping
Standoffs Metal Hex,Components
